nome,distancia,tempo
a280.tsp,2579,65.83678
ali535.tsp,202411,1140.395
att48.tsp,10628,0.23567529999999995
att532.tsp,27709,1069.7627
bayg29.tsp,1610,0.034774099999999995
bays29.tsp,2020,0.0359998
berlin52.tsp,7542,0.2632994
bier127.tsp,118282,7.6096580000000005
brazil58.tsp,25395,0.3516248
brg180.tsp,1950,7.4404150000000016
burma14.tsp,3323,0.0032620999999999995
ch130.tsp,6110,7.7420659999999994
ch150.tsp,6528,6.605136999999999
d198.tsp,15780,21.30294
dantzig42.tsp,699,0.1290556
eil101.tsp,629,3.046466
eil51.tsp,426,0.2764846
eil76.tsp,538,1.1263449999999997
fl417.tsp,11861,255.2129
fri26.tsp,937,0.023685900000000003
gil262.tsp,2378,68.32619000000001
gr120.tsp,6942,6.265323
gr137.tsp,69853,7.242181
gr17.tsp,2085,0.0069466
gr202.tsp,40160,25.12488
gr21.tsp,2707,0.0112665
gr229.tsp,134602,41.5119
gr24.tsp,1272,0.020263700000000003
gr431.tsp,171549,519.9125999999999
gr48.tsp,5046,0.23090740000000004
gr96.tsp,55209,2.355567
hk48.tsp,11461,0.2567526
kroA100.tsp,21282,2.3434619999999997
kroA150.tsp,26524,7.520295
kroA200.tsp,29368,24.61052
kroB100.tsp,22141,2.622709
kroB150.tsp,26130,7.256686999999999
kroB200.tsp,29437,27.384410000000003
kroC100.tsp,20749,2.602205
kroD100.tsp,21294,2.747157
kroE100.tsp,22068,2.667023
lin105.tsp,14379,2.777047
lin318.tsp,42029,136.7371
linhp318.tsp,42029,134.56810000000002
pcb442.tsp,50803,434.7927000000001
pr107.tsp,44303,3.20032
pr124.tsp,59030,4.117033000000001
pr136.tsp,96772,9.184212
pr144.tsp,58537,6.918623999999999
pr152.tsp,73682,5.140022999999999
pr226.tsp,80369,28.093380000000003
pr264.tsp,49135,41.67012999999999
pr299.tsp,48191,89.46758999999999
pr76.tsp,108159,0.9241902
rat195.tsp,2323,20.458419999999997
rat99.tsp,1211,2.879475
rd100.tsp,7910,2.871787
rd400.tsp,15281,384.3134999999999
si175.tsp,21407,10.65443
si535.tsp,48456,595.6148
st70.tsp,675,0.7570611999999999
swiss42.tsp,1273,0.1149954
ts225.tsp,126643,17.171789999999998
tsp225.tsp,3916,32.177519999999994
u159.tsp,42080,6.230459000000001
ulysses16.tsp,6859,0.0073893
ulysses22.tsp,7013,0.013409500000000001
